product name,url,image url,brand
21-Windcheater Toggle Hem Jacket,https://www.myntra.com/jackets/glitchez/glitchez-drop-shoulder-windcheater-toggle-hem-jacket/33573919/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/DECEMBER/4/huFnsF7O_4282e05514e64736b60fc49e8eb7774d.jpg,Myntra
22-Fleece Lightweight Open Front Jacket,https://www.myntra.com/jackets/lecowar/lecowar-women-fleece-lightweight-open-front-jacket/37924941/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/NOVEMBER/12/fIgB8V7E_3c02d0a0187f4c2f8f8e48b2b0a82c78.jpg,Myntra
23-Lightweight Puffer Jacket,https://www.myntra.com/jackets/szn/szn-women-lightweight-puffer-jacket/38066296/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/NOVEMBER/18/RlRaqNdw_1e006e29e76846e98b56260fc102bcf3.jpg,Myntra
24-Washed Crop Denim Jacket,https://www.myntra.com/jackets/montrez/montrez-women-blue-washed-crop-denim-jacket/19561470/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/OCTOBER/8/I9jrWcZh_68c8bce458274d228f9d26ca4cc06f8c.jpg,Myntra
25-Leather Bomber Jacket,https://www.myntra.com/jackets/the+fashion+hub/the-fashion-hub-women-leather-bomber-jacket/38130160/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/NOVEMBER/20/LdJ92ydP_4c8f61dcf9f94ee1a2681cff66f78483.jpg,Myntra
26-Women Solid Sporty Jacket,https://www.myntra.com/jackets/qioa/qioa-women-hooded-solid-windcheater-sporty-jacket/36426533/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/SEPTEMBER/4/l2TY9cxC_d789942516354bdfb3462fe54bab0fa0.jpg,Myntra
27-Woollen Fashion Jacket,https://www.myntra.com/jackets/szn/szn-women-woollen-fashion-jacket/37844318/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/NOVEMBER/8/xqcHAnQD_85ae503724d74706a90fab67ba7589ed.jpg,Myntra
28-Fleece Lightweight Open Front Jacket,https://www.myntra.com/jackets/kasendra/kasendra-women-fleece-lightweight-open-front-jacket/37922746/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/NOVEMBER/12/YOsJWDTA_530eff26c0da4b73baed343870d98ade.jpg,Myntra
29-Women Plus Size Bomber Jacket,https://www.myntra.com/jackets/rigo/rigo-plus-size-fleece-lightweight-open-front-jacket/32418592/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/32418592/2025/1/29/b385bb71-85a6-4970-ae90-9f72cd7d63011738131777062-Rigo-Women-Plus-Size-Stand-Collar-Solid-Fleece-Casual-Lightw-1.jpg,Myntra
30-Velour Finish Crop Jacket,https://www.myntra.com/jackets/dressberry/dressberry-puff-sleeves-velour-finish-crop-jacket/29994892/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/29994892/2024/9/21/a9d9bcf4-8c26-4c99-9401-f544c526f3b91726901007391-DressBerry-Women-Jackets-1451726901006963-1.jpg,Myntra
